datetime_utc,id,text,retweets,favorites
2016-12-07 19:37:00+00:00,806583438748815361,"Join me tomorrow in Des Moines, Iowa with Vice President-Elect @mike_pence - at 7:00pm!#ThankYouTour2016 #MAGA... https://t.co/Geq6sT70IT",5049,22762
2016-12-08 00:41:00+00:00,806660011904614408,"Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!",10063,40673
2016-12-08 01:56:00+00:00,806678853305384960,"If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana. Spend more time working-less time talking. Reduce dues",11181,47192
2016-12-08 21:15:00+00:00,806970576359325696,Today we lost a great pioneer of air and space in John Glenn. He was a hero and inspired generations of future explorers. He will be missed.,16122,79912
2016-12-08 22:55:00+00:00,806995622117122048,"On my way to Des Moines, Iowa- will see you soon with @mike_pence. Join us! Tickets: https://t.co/1IuRTVwMSx #ThankYouTour2016",3227,17972
2016-12-08 23:12:00+00:00,806999846674698240,"Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: https://t.co/2UTwAg5V87",4861,16820
2016-12-09 03:02:00+00:00,807057700857188355,"THANK YOU IOWA!
#ThankYouTour2016 https://t.co/v6EB2OQMeO",7483,33733
2016-12-09 19:42:00+00:00,807309464705630208,"Join me live in Louisiana! Tomorrow, we need you to go to the polls & send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL",4280,18963
2016-12-09 22:13:00+00:00,807347429062443009,"Thank you Louisiana! Get out &, vote for John Kennedy tomorrow. Electing Kennedy will help enact our agenda on behal... https://t.co/sHXeyreEZI",7271,30418
2016-12-10 03:30:00+00:00,807427326522884096,"Thank you Michigan. We are going to bring back your jobs &, together, we will MAKE AMERICA GREAT AGAIN!Watch:... https://t.co/EyLOo26FqW",7324,31887
2016-12-10 11:19:00+00:00,807545243608420352,".@RudyGiuliani, one of the finest people I know and a former GREAT Mayor of N.Y.C., just took himself out of consideration for ""State"".",5681,24784
2016-12-10 11:27:00+00:00,807547249681166336,I have NOTHING to do with The Apprentice except for fact that I conceived it with Mark B & have a big stake in it. Will devote ZERO TIME!,8941,41010
2016-12-10 12:38:00+00:00,807565127021109252,"As a show of support for our Armed Forces, I will be going to The Army-Navy Game today. Looking forward to it, should be fun!",14793,89417
2016-12-10 14:11:00+00:00,807588632877998081,"Reports by @CNN that I will be working on The Apprentice during my Presidency, even part time, are ridiculous & untrue - FAKE NEWS!",19675,61108
2016-12-10 14:14:00+00:00,807589280071684096,"A very interesting read. Unfortunately, so much is true.
https://t.co/ER2BoM765M",9753,25342
2016-12-10 19:09:00+00:00,807663477322027008,October 2015 - thanks Chris Wallace @FoxNewsSunday! https://t.co/VEsgPcWq7z,5746,22790
2016-12-11 12:56:00+00:00,807932020236124160,I will be interviewed today on Fox News Sunday with Chris Wallace at 10:00 (Eastern) Network. ENJOY!,4524,24897
2016-12-11 13:12:00+00:00,807935995316408322,"Being at the Army - Navy Game was fantastic. There is nothing like the spirit in that stadium. A wonderful experience, and congrats to Army!",10412,66369
2016-12-11 13:51:00+00:00,807945982633709570,"I spent Friday campaigning with John Kennedy, of the Great State of Louisiana, for the U.S.Senate. The election is over - JOHN WON!",7865,42274
2016-12-11 15:29:00+00:00,807970490635743237,"Whether I choose him or not for ""State""- Rex Tillerson, the Chairman & CEO of ExxonMobil, is a world class player and dealmaker. Stay tuned!",10208,43618
2016-12-12 00:32:00+00:00,808107215492091904,Will be interviewed on @FoxNews at 10:00 P.M. Enjoy!,4271,22838
2016-12-12 01:02:00+00:00,808114703922843649,"Just watched @NBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although @CNN is right up there!",15541,58557
2016-12-12 13:17:00+00:00,808299841147248640,Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!,26498,88114
2016-12-12 13:21:00+00:00,808300706914594816,"Unless you catch ""hackers"" in the act, it is very hard to determine who was doing the hacking. Why wasn't this brought up before election?",12475,48991
2016-12-12 13:26:00+00:00,808301935728230404,The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.,12890,49253
2016-12-12 22:25:00+00:00,808437742904418304,"#ThankYouTour2016 Tue: West Allis, WI. Thur: Hershey, PA. Fri: Orlando, FL. Sat: Mobile, AL. Tickets:... https://t.co/OJ8S7iVzFx",6252,22211
2016-12-12 23:40:00+00:00,808456602076545025,The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!,23140,86393
2016-12-13 00:33:00+00:00,808469755749339136,I will be making my announcement on the next Secretary of State tomorrow morning.,13136,51908
2016-12-13 04:26:00+00:00,808528428123254785,"Even though I am not mandated by law to do so, I will be leaving my busineses before January 20th so that I can focus full time on the......",9635,46225
2016-12-13 04:32:00+00:00,808529888630239232,"Presidency. Two of my children, Don and Eric, plus executives, will manage them. No new deals will be done during my term(s) in office.",7712,35226
2016-12-13 04:41:00+00:00,808532286664822784,"I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!",8430,38554
2016-12-13 11:43:00+00:00,808638507161882624,"I have chosen one of the truly great business leaders of the world, Rex Tillerson, Chairman and CEO of ExxonMobil, to be Secretary of State.",18861,63981
2016-12-13 11:57:00+00:00,808642018612310016,Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!,14309,63917
2016-12-13 12:44:00+00:00,808653723639697408,The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.,11870,49019
2016-12-13 21:33:00+00:00,808787048144453632,"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! #ThankYouTour2016 Tickets:... https://t.co/1RFmKCMgyw",5033,19248
2016-12-14 03:48:00+00:00,808881429715316737,"Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch:... https://t.co/iEGWZLuiFE",7738,35405
2016-12-14 18:07:00+00:00,809097603010981888,.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9,11191,47785
2016-12-15 13:05:00+00:00,809383989018497024,"Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!",6982,30051
2016-12-15 13:09:00+00:00,809384826193276928,"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!",8507,46964
2016-12-15 13:28:00+00:00,809389774066814976,"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!",10832,49759
2016-12-15 14:24:00+00:00,809403760099422208,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",31942,101838
2016-12-15 22:27:00+00:00,809525257371578369,"Join me in Mobile, Alabama on Sat. at 3pm! #ThankYouTour2016 
Tickets: https://t.co/GGgbjl8Zo6 https://t.co/opKrWO4k0C",4461,18315
2016-12-16 01:32:00+00:00,809571983428120577,"Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://t.co/7R382qWfWS... https://t.co/yB6u5FEfHq",7126,31694
2016-12-16 11:09:00+00:00,809717035353722880,Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,26043,89047
2016-12-16 16:03:00+00:00,809790978332786689,"Well, we all did it, together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!",14405,58361
